id,country,city,name,institution_stat,zipcode,date
1286,usa,atlanta,georgia inst of technology,ga,30308,5/18/2015
1287,usa,clinton,ashford university,ia,52732-3910,5/19/2015
1288,usa,kenosha,gateway tech inst-kenosha,wi,53144-1619,5/22/2015
1289,usa,boston,caritas laboure college,ma,02124-5617,5/26/2015
1290,usa,springfield,clark state cmty college,oh,45501-0570,5/27/2015
1291,usa,carson,cal state u - dominguez hills,ca,90747,5/27/2015
1292,usa,santa cruz,univ of calif - santa cruz,ca,95064,5/29/2015
1293,usa,providence,providence college,ri,02918-7000,5/29/2015
1294,usa,fulton,westminster college,mo,65251-1230,5/29/2015
1295,usa,charlotte,queens univ - charlotte,nc,28274-0001,5/31/2015
1296,usa,lowell,umasslowell,ma,01854-2827,5/31/2015
1297,usa,martinsville,vccs - patrick henry cc,va,24112-6693,6/1/2015
1298,usa,clarion,clarion university of pa,pa,16214-1240,6/1/2015
1299,usa,north dartmouth,umassdartmouth,ma,02747-2356,6/2/2015
1300,usa,seattle,university of washington,wa,98195,6/10/2015
1301,usa,framingham,framingham state university,ma,01702-2499,6/14/2015
1302,usa,spartanburg,univ of sc - upstate,sc,29303-4932,1/9/2017
1303,usa,ogden,weber state university,ut,84408,1/9/2017
1304,usa,new bern,craven community college,nc,28562,1/9/2017
1305,usa,morrow,clayton state univ,ga,30260-1293,1/9/2017
1306,usa,alpena,alpena community college,mi,49707-1410,2/2/2016
1307,usa,staten island,college of staten island,ny,10314-6609,2/2/2016
1308,usa,greenvale,long island university (cw post),ny,11548-1319,2/2/2016
1309,usa,henderson,nevada state college,nv,89015,2/2/2016
1310,usa,san angelo,angelo state university,tx,76909,2/3/2016
1311,usa,dyersburg,dyersburg st comm coll,tn,38024,2/3/2016
1312,usa,cambridge,massachusetts inst of tech,ma,2139,1/9/2017
1313,usa,new concord,muskingum university,oh,43762-1118,1/9/2017
1314,usa,hammond,purdue university calumet,in,46323,1/9/2017
1315,usa,san bernardino,san bernardino valley coll,ca,92410,2/3/2016
1316,usa,fort lauderdale,broward coll-downtown,fl,33301-2208,2/3/2016
1317,usa,kansas city,penn valley cmty college,mo,64111,2/3/2016
1318,usa,colorado springs,pikes peak cc - downtown cmps,co,80903,2/3/2016
1319,usa,heathrow,seminole state - heathrow,fl,32746,2/3/2016
1320,usa,purchase,suny at purchase,ny,10577-1402,2/3/2016
1321,usa,south bend,indiana univ at so bend,in,46615-1408,2/3/2016
1322,usa,monmouth,western oregon university,or,97361,1/10/2017
1323,usa,sarasota,univ of south florida sarasota/manatee,fl,34243-2049,1/10/2017
1324,usa,catonsville,cc baltimore cty - catonsville,md,21228-5317,2/3/2016
1325,usa,new york,baruch college of cuny,ny,10010-5518,2/3/2016
1326,usa,hempstead,hofstra university,ny,11549,2/3/2016
1327,usa,cambridge,lesley university,ma,02138-2702,2/4/2016
1328,usa,the pas,univ coll of the north - the pas,mb,r9a 1m7,8/24/2017
1329,usa,worthington,mn west comm &amp;tech coll- wort,mn,56187-3024,8/24/2017
1330,usa,harrisburg,temple univ - harrisburg,pa,17101-1817,8/24/2017
1331,usa,portland,univ of so maine - portland,me,04103-4864,8/24/2017
1332,usa,newark,university of delaware,de,19716,8/24/2017
1333,usa,salt lake city,salt lake city comm coll-s,ut,84115,1/10/2017
1334,usa,jupiter,florida atlantic u - north/mac,fl,33458-2906,1/10/2017
1335,usa,salt lake city,brigham young univ-salt lak,ut,84124,1/10/2017
1336,usa,douglas,south ga state coll - douglas,ga,31533-5020,1/10/2017
1337,usa,terre haute,ivy tech comm coll - terre haute,in,47802-4883,2/4/2016
1338,usa,belmont,notre dame de namur university,ca,94002,2/4/2016
1339,usa,plattsburgh,clinton community college,ny,12901-6002,2/4/2016
1340,usa,marietta,marietta college,oh,45750-4033,2/4/2016
1341,usa,birmingham,univ alabama-birmingham,al,35294-0001,2/4/2016
1342,usa,magnolia,sthrn arkansas u-magnolia,ar,71753,2/4/2016
1343,usa,san francisco,san francisco state univ,ca,94132,8/24/2017
1344,usa,colby,colby comm coll,ks,67701-4007,8/24/2017
1345,usa,burton,kent state u-geauga co,oh,44021,8/24/2017
1346,usa,augusta,augusta technical college,ga,30906-8243,8/24/2017
1347,usa,opelika,southern union cc-opelika,al,36801-3113,8/24/2017
1348,usa,columbia,benedict college,sc,29204-1058,8/24/2017
1349,usa,shepherdstown,shepherd university,wv,25443,8/24/2017
1350,usa,creston,southwestern community coll,ia,50801-1042,8/24/2017
1351,usa,south orange,seton hall university,nj,07079-2646,8/24/2017
1352,usa,kenosha,univ of wisconsin - parkside,wi,53144-1133,8/24/2017
1353,usa,lincoln univ,lincoln university,pa,19352,8/24/2017
1354,usa,bogalusa,northshore tech cc - bogalusa,la,70427-5866,8/24/2017
1355,usa,childersburg,central alabama cc,al,35044,8/24/2017
1356,usa,tampa,hillsborough c c-d mabry,fl,33614-7810,8/24/2017
1357,usa,media,delaware cty comm college,pa,19063-1027,8/24/2017
1358,usa,mayhew,east ms cc - golden triangle campus,ms,39753,8/24/2017
1359,usa,ellisville,jones county junior college,ms,39437-3901,8/24/2017
1360,usa,douglasville,west ga tech - douglas,ga,30135,8/24/2017
1361,usa,kennesaw,duplicate,ga,30144,8/24/2017
1362,usa,bryan,s-con inc,tx,77807,6/18/2015
1363,usa,la grande,eastern oregon university,or,97850,6/18/2015
1364,usa,san francisco,ccsf - ocean,ca,94112,6/19/2015
1365,usa,puyallup,pierce college,wa,98374-2210,6/29/2015
1366,usa,indiana,indiana university of pa,pa,15705,7/6/2015
1367,usa,lakewood,rockmont college,co,80226,7/22/2015
1368,usa,philadelphia,holy family university,pa,19114-2009,1/10/2017
1369,usa,chicago,northeastern illinois univ,il,60625,1/10/2017
1370,usa,elizabethtown,kentucky tech elizabethtown,ky,42701-3149,1/10/2017
1371,usa,detroit,univ of detroit-dental schl,mi,48207-4288,1/10/2017
1372,usa,austin,austin c c - rio grande,tx,78701,2/4/2016
1373,usa,denton,university of north texas,tx,76203,2/4/2016
1374,usa,cincinnati,raymond walters college,oh,45236,2/5/2016
1375,usa,chicago,city college of chicago,il,60609-2325,2/5/2016
1376,usa,winston salem,wake forest university,nc,27106,1/10/2017
1377,usa,erie,penn state u behrend campus,pa,16563-4101,1/10/2017
1378,usa,don mills,pearson university,on,m3c 2t8,1/10/2017
1379,usa,grenada,holmes cc-grenada,ms,38901-5095,1/10/2017
1380,usa,bangor,husson university,me,4401,2/5/2016
1381,usa,pittsburgh,cc allegheny co-allegheny,pa,15212-6003,2/5/2016
1382,usa,new york,fordham univ-lincoln ctr,ny,10023-7414,2/5/2016
1383,usa,elkhorn,gateway tech coll elkhorn,wi,53121-2035,2/5/2016
1384,usa,chicago,kennedy king college,il,60621-2709,2/6/2016
1385,usa,seattle,north seattle cmty college,wa,98103,2/6/2016
1386,usa,emory,emory and henry college,va,24327,1/10/2017
1387,usa,wahpeton,no dakota st college of sci,nd,58076-0001,1/10/2017
1388,usa,vincennes,vincennes univ - vincennes,in,47591-1504,1/11/2017
1389,usa,edinboro,edinboro university of pa,pa,16444,2/6/2016
1390,usa,randolph,county college of morris,nj,7869,2/6/2016
1391,usa,river forest,dominican university,il,60305,2/6/2016
1392,usa,plainfield,union county college,nj,07060-1308,2/7/2016
1393,usa,eau claire,chippewa valley tech coll,wi,54701-6120,8/24/2017
1394,usa,brownwood,texas state tech - brownwood,tx,76801,8/25/2017
1395,usa,odessa,univ of texas - permian basin,tx,79762,8/25/2017
1396,usa,peoria,midstate college,il,61614-3542,8/25/2017
1397,usa,washington,univ district of columbia,dc,20008,1/11/2017
1398,usa,pineville,louisiana college,la,71360,1/11/2017
1399,usa,erie,gannon university,pa,16541-0002,1/11/2017
1400,usa,pinehurst,sandhills community college,nc,28374-8778,1/11/2017
1401,usa,newnan,univ of west ga - newnan,ga,30265,8/25/2017
1402,usa,greeley,aims comm coll-greeley,co,80634,8/25/2017
1403,usa,ft lauderdale,nova southeastern univ,fl,33314,8/25/2017
1404,usa,saint louis,univ of mo-st louis,mo,63121,8/25/2017
1405,usa,coalinga,west hills college,ca,93210,8/25/2017
1406,usa,moraga,saint marys college,ca,94575,8/25/2017
1407,usa,albany,albany tech college,ga,31701-2648,8/25/2017
1408,usa,indianapolis,ball state univ - indiana,in,46220,8/25/2017
1409,usa,independence,blue river community colleg,mo,64057,8/25/2017
1410,usa,lansing,lansing community college,mi,48933-1215,8/25/2017
1411,usa,mars hill,mars hill college,nc,28754-9134,8/25/2017
1412,usa,hickory,catawba valley comm coll,nc,28602-8302,8/25/2017
1413,usa,watkinsville,univ of n georgia -oconee,ga,30677,8/25/2017
1414,usa,hammond,north shore career coll,la,70401,8/25/2017
1415,usa,gambier,kenyon college,oh,43022,8/25/2017
